ProductID,URL,Title,Selling Price,MRP,Discount,Rating,Rating_Count,Category
B07PR1CL3S,https://www.amazon.in/dp/B07PR1CL3S?th=1&psc=1&language=en_IN,"Boat Rockerz 450/450R, 15 HRS Battery, 40mm Drivers, Padded Ear Cushions, Integrated Controls, Dual Modes, Bluetooth Headphones, Wireless Headphone with Mic (Luscious Black)","1,399","M.R.P.:
₹3,990",-65%,4 out of 5,"117,071 ratings",Electronics
B07PR1CL3S,https://www.amazon.in/dp/B07PR1CL3S?th=1&psc=1&language=en_IN,"Boat Rockerz 450/450R, 15 HRS Battery, 40mm Drivers, Padded Ear Cushions, Integrated Controls, Dual Modes, Bluetooth Headphones, Wireless Headphone with Mic (Luscious Black)","1,399","M.R.P.:
₹3,990",-65%,4 out of 5,"117,071 ratings",Electronics
B0BSLPSK47,https://www.amazon.in/dp/B0BSLPSK47?th=1&psc=1&language=en_IN,VR Headset Compatible with iPhone & Android | Virtual Reality Goggles for 4.7”-6.5” Cell Phone - Best Set Glasses | Gift for Kids and Adults for 3D Gaming and VR Videos,520,"M.R.P.:
₹1,999",-74%,1.9 out of 5,58 ratings,Electronics
B09V7WS4PP,https://www.amazon.in/dp/B09V7WS4PP?th=1&psc=1&language=en_IN,"JBL Flip 6 Wireless Portable Bluetooth Speaker Pro Sound, Upto 12 Hours Playtime, IP67 Water & Dustproof, PartyBoost & Personalization App (Without Mic, Black)","8,999","M.R.P.:
₹13,999",-36%,4.4 out of 5,"38,157 ratings",Electronics
B071Z8M4KX,https://www.amazon.in/dp/B071Z8M4KX?th=1&psc=1&language=en_IN,Boat BassHeads 100 in-Ear Headphones with Mic (Black),340,"M.R.P.:
₹999",-66%,4.1 out of 5,"418,689 ratings",Electronics
B0DFQ1R3W4,https://www.amazon.in/dp/B0DFQ1R3W4?th=1&psc=1&language=en_IN,"OnePlus Nord Buds 3 Truly Wireless Bluetooth in Ear Earbuds with Up to 32Db Active Noise Cancellation,10Mins for 11Hours Fast Charging with Up to 43H Music Playback -Harmonic Gray","2,299","M.R.P.:
₹2,799",-18%,4.1 out of 5,"4,374 ratings",Electronics
B0CZ3ZPD8B,https://www.amazon.in/dp/B0CZ3ZPD8B?th=1&psc=1&language=en_IN,"boAt Airdopes 311 Pro, 50HRS Battery, Fast Charge, Dual Mics ENx Tech, Transparent LID, Low Latency, IPX4, IWP Tech, v5.3 Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Active Black)",799,"M.R.P.:
₹4,990",-84%,3.4 out of 5,"3,942 ratings",Electronics
B0D8BZDPXB,https://www.amazon.in/dp/B0D8BZDPXB?th=1&psc=1&language=en_IN,"Bose New QuietComfort Wireless Noise Cancelling Earbuds, Lifestyle Bluetooth Earbuds with Active Noise Cancellation, Up to 8.5 Hours of Battery Life, Black","14,899","M.R.P.:
₹16,900",-12%,3.8 out of 5,"2,642 ratings",Electronics
B0DJW4X91W,https://www.amazon.in/dp/B0DJW4X91W?th=1&psc=1&language=en_IN,"Dood (15 Years Warranty) Virtual Reality VR Headset with Touch Button for Watching Movies,Playing Games Compatible with All Smartphones Upto 7 inches (White)(Make in India)",N/A,N/A,N/A,4.1 out of 5,44 ratings,Electronics
B0DG92TB1B,https://www.amazon.in/dp/B0DG92TB1B?th=1&psc=1&language=en_IN,"amazon basics True Wireless in-Ear Earbuds with Mic, Low-Latency Gaming Mode, Touch Control, IPX5 Water-Resistance, Bluetooth 5.3, Up to 60 Hours Play Time, Voice Assistance and Fast Charging (White)",579,"M.R.P.:
₹2,499",-77%,3.3 out of 5,329 ratings,Electronics
B09SHWXWR8,https://www.amazon.in/dp/B09SHWXWR8?th=1&psc=1&language=en_IN,"iBELL FM700BT Portable FM Radio with Bluetooth Speaker, USB, SD Slot, MP3 Player & Dynamic Speaker 3 Band (Brown)","1,589","M.R.P.:
₹2,790",-43%,4.1 out of 5,"1,403 ratings",Electronics
B0B1PXM75C,https://www.amazon.in/dp/B0B1PXM75C?th=1&psc=1&language=en_IN,"Noise Two Wireless On-Ear Headphones with 50 Hours Playtime, Low Latency(up to 40ms), 4 Play Modes, Dual Pairing, BT v5.3 (Serene Blue)","1,499","M.R.P.:
₹4,999",-70%,3.5 out of 5,"3,278 ratings",Electronics
B0DHV38WWD,https://www.amazon.in/dp/B0DHV38WWD?th=1&psc=1&language=en_IN,"KZ EDC PRO IEM Wired Earphone, HiFi Dynamic Driver (DD) IEM, High-Functioning Silver-Plated OFC Cable, 0.75mm Detachable Cable, 3.5mm Plug for Audiophiles & Musicians. (Black)",788,"M.R.P.:
₹1,399",-44%,4 out of 5,185 ratings,Electronics
B084685MT1,https://www.amazon.in/dp/B084685MT1?th=1&psc=1&language=en_IN,"Sony HT-S20R Real 5.1ch Dolby Digital Soundbar for TV with subwoofer and Compact Rear Speakers, 5.1ch Home Theatre System (400W,Bluetooth & USB Connectivity, HDMI & Optical connectivity)","17,990","M.R.P.:
₹23,990",-25%,4.6 out of 5,"18,456 ratings",Electronics
B0CCVGXFG7,https://www.amazon.in/dp/B0CCVGXFG7?th=1&psc=1&language=en_IN,Morpho MSO 1300 E3 RD L1 Fingerprint Biometric Scanner | 1 Year RD Service Registration | Updated High Secured Technology | Easy to Carry Device | Aadhaar Authentication | Radium Box,N/A,N/A,N/A,3.2 out of 5,124 ratings,Home Improvement
B071Z8M4KX,https://www.amazon.in/dp/B071Z8M4KX?th=1&psc=1&language=en_IN,Boat BassHeads 100 in-Ear Headphones with Mic (Black),340,"M.R.P.:
₹999",-66%,4.1 out of 5,"418,689 ratings",Electronics
B0D6W7F7WH,https://www.amazon.in/dp/B0D6W7F7WH?th=1&psc=1&language=en_IN,"boAt Stone 352 Pro/Stone 358 Pro w/ 14W Signature Sound, Up to 12 Hours Playback, RGB LEDs, TWS Feature, Built-in Mic, BTv5.3, AUX Port, IPX5 & Type-C Interface Bluetooth Speaker (Raging Black)","1,599","M.R.P.:
₹4,990",-68%,4 out of 5,"12,317 ratings",Electronics
B0DSZW4VQZ,https://www.amazon.in/dp/B0DSZW4VQZ?th=1&psc=1&language=en_IN,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B0F7RPKTN5,https://www.amazon.in/dp/B0F7RPKTN5?th=1&psc=1&language=en_IN,Buds 2 Wired in Ear Earphones with Mic (Black),470,"M.R.P.:
₹1,000",-53%,1 out of 5,2 ratings,Electronics
B084685MT1,https://www.amazon.in/dp/B084685MT1?th=1&psc=1&language=en_IN,"Sony HT-S20R Real 5.1ch Dolby Digital Soundbar for TV with subwoofer and Compact Rear Speakers, 5.1ch Home Theatre System (400W,Bluetooth & USB Connectivity, HDMI & Optical connectivity)","17,990","M.R.P.:
₹23,990",-25%,4.6 out of 5,"18,456 ratings",Electronics
B09XXW54QG,https://www.amazon.in/dp/B09XXW54QG?th=1&psc=1&language=en_IN,"Marshall Emberton II Compact Portable Bluetooth Speaker with 30+ Hours of Playtime, (360° Sound), Dust & Waterproof (IP67) Black & Brass.","14,999","M.R.P.:
₹19,999",-25%,4.4 out of 5,"3,802 ratings",Electronics
B0D772K8X8,https://www.amazon.in/dp/B0D772K8X8?th=1&psc=1&language=en_IN,"pTron Newly Launched Fusion Tunes 10W Mini Bluetooth Speaker with Wireless Karaoke Mic, 8Hrs Playtime, Vivid RGB Lights, Voice Effects, Multi-Play Modes BT5.1/TF Card & Type-C Charging Port (Black)",849,"M.R.P.:
₹3,199",-73%,4.1 out of 5,"1,916 ratings",Electronics
B08TV2P1N8,https://www.amazon.in/dp/B08TV2P1N8?th=1&psc=1&language=en_IN,"Boat Rockerz 255 Pro+, 60HRS Battery, Fast Charge, IPX7, Dual Pairing, Low Latency, Magnetic Earbuds, Bluetooth Neckband, Wireless with Mic Earphones (Active Black)","1,298","M.R.P.:
₹3,990",-67%,3.9 out of 5,"226,437 ratings",Electronics
B0CZ3ZPD8B,https://www.amazon.in/dp/B0CZ3ZPD8B?th=1&psc=1&language=en_IN,"boAt Airdopes 311 Pro, 50HRS Battery, Fast Charge, Dual Mics ENx Tech, Transparent LID, Low Latency, IPX4, IWP Tech, v5.3 Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Active Black)",799,"M.R.P.:
₹4,990",-84%,3.4 out of 5,"3,942 ratings",Electronics
B0BW8TXJJ2,https://www.amazon.in/dp/B0BW8TXJJ2?th=1&psc=1&language=en_IN,"boAt Nirvana Ion, 120HRS Battery, Crystal Bionic Sound w/Dual EQ Modes, 4Mics ENx, App Support, Low Latency, IPX4, v.5.2 Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Charcoal Black)","1,699","M.R.P.:
₹7,990",-79%,3.9 out of 5,"17,016 ratings",Electronics
B09JVCT78G,https://www.amazon.in/dp/B09JVCT78G?th=1&psc=1&language=en_IN,"JBL Partybox 110, Wireless Bluetooth Party Speaker, 160W Monstrous Pro Sound, Dynamic Light Show, Upto 12Hrs Playtime, Built-in Powerbank, Guitar & Mic Input, PartyBox App, Splashproof (Black)","24,999","M.R.P.:
₹35,999",-31%,4.6 out of 5,"1,192 ratings",Electronics
B07PR1CL3S,https://www.amazon.in/dp/B07PR1CL3S?th=1&psc=1&language=en_IN,"Boat Rockerz 450/450R, 15 HRS Battery, 40mm Drivers, Padded Ear Cushions, Integrated Controls, Dual Modes, Bluetooth Headphones, Wireless Headphone with Mic (Luscious Black)","1,399","M.R.P.:
₹3,990",-65%,4 out of 5,"117,071 ratings",Electronics
B0BQN3NW8C,https://www.amazon.in/dp/B0BQN3NW8C?th=1&psc=1&language=en_IN,"Boult Audio Z40 True Wireless in Ear Earbuds with 60H Playtime, Zen™ ENC Mic, Low Latency Gaming, Type-C Fast Charging, Made in India, 10mm Rich Bass Drivers, IPX5, Bluetooth 5.3 Ear Buds TWS (White)",999,"M.R.P.:
₹4,999",-80%,3.8 out of 5,"34,045 ratings",Electronics
B0CZ3ZPD8B,https://www.amazon.in/dp/B0CZ3ZPD8B?th=1&psc=1&language=en_IN,"boAt Airdopes 311 Pro, 50HRS Battery, Fast Charge, Dual Mics ENx Tech, Transparent LID, Low Latency, IPX4, IWP Tech, v5.3 Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Active Black)",799,"M.R.P.:
₹4,990",-84%,3.4 out of 5,"3,942 ratings",Electronics
B07VM8N32R,https://www.amazon.in/dp/B07VM8N32R?th=1&psc=1&language=en_IN,"Dulcet DC-A50X 2 Channel Stereo Amplifier with Big LED Display/Bluetooth/MIC Input/USB/SD Card Slot/FM Radio/AUX Input/Remote Control & Built-in Equalizer with Bass, Treble & Balance Control","1,890","M.R.P.:
₹4,390",-57%,3.4 out of 5,"1,028 ratings",Electronics
B07L8KNP5F,https://www.amazon.in/dp/B07L8KNP5F?th=1&psc=1&language=en_IN,"ZEBRONICS THUNDER Bluetooth 5.3 Wireless Headphones with 60H Backup, Gaming Mode, Dual Pairing, ENC, AUX, Micro SD, Voice assistant, Comfortable Earcups, Call Function(Black)",799,"M.R.P.:
₹1,199",-33%,3.7 out of 5,"77,004 ratings",Electronics
B0D6WD2QSQ,https://www.amazon.in/dp/B0D6WD2QSQ?th=1&psc=1&language=en_IN,"Bose New SoundLink Flex Portable Bluetooth Speaker (2nd Gen), Portable Outdoor Speaker with Hi-Fi Audio, Up to 12 Hours Battery Life, Waterproof and Dustproof, Black","14,499","M.R.P.:
₹16,900",-14%,4.7 out of 5,"3,016 ratings",Electronics
B0CLV4XQFK,https://www.amazon.in/dp/B0CLV4XQFK?th=1&psc=1&language=en_IN,"Sounce Spiral Cable Protector, Chargers Cable Protector Data Cable Protective Sleeve, Headphone Saver, Charger Protective Cover for Phone USB Prevent Pets from Biting The Cable (Set of 2)",99,"M.R.P.:
₹499",-80%,4.2 out of 5,"2,486 ratings",Computers & Accessories
B0DG9ZXWMK,https://www.amazon.in/dp/B0DG9ZXWMK?th=1&psc=1&language=en_IN,reMarkable Paper Pro Bundle Includes 11.8'' Paper Tablet and Marker Plus Pen with Eraser Gray,"59,999",N/A,N/A,4.2 out of 5,569 ratings,Computers & Accessories
B09SHWXWR8,https://www.amazon.in/dp/B09SHWXWR8?th=1&psc=1&language=en_IN,"iBELL FM700BT Portable FM Radio with Bluetooth Speaker, USB, SD Slot, MP3 Player & Dynamic Speaker 3 Band (Brown)","1,589","M.R.P.:
₹2,790",-43%,4.1 out of 5,"1,403 ratings",Electronics
B0CZ3ZPD8B,https://www.amazon.in/dp/B0CZ3ZPD8B?th=1&psc=1&language=en_IN,"boAt Airdopes 311 Pro, 50HRS Battery, Fast Charge, Dual Mics ENx Tech, Transparent LID, Low Latency, IPX4, IWP Tech, v5.3 Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Active Black)",799,"M.R.P.:
₹4,990",-84%,3.4 out of 5,"3,942 ratings",Electronics
B07J6R7MT5,https://www.amazon.in/dp/B07J6R7MT5?th=1&psc=1&language=en_IN,"MP3 Player,RUIZU X02 16GB Ultra Slim Music Player with FM Radio,Voice Recorder,Video Play,Text Reading,80 Hours Playback and Expandable Up to 128 GB (Black)","2,370","M.R.P.:
₹2,990",-21%,3.5 out of 5,"3,888 ratings",Electronics
B0DL3CH93D,https://www.amazon.in/dp/B0DL3CH93D?th=1&psc=1&language=en_IN,"Portronics Tune, 2-in-1 Wireless Car Receiver, Converts Wired Auto Android & CarPlay to Wireless, Bluetooth Connectivity, Only for Cars with OEM Installed Wired Android Auto/CarPlay (Black)","2,799","M.R.P.:
₹4,999",-44%,4.3 out of 5,234 ratings,Electronics
B0CDCR9LZ3,https://www.amazon.in/dp/B0CDCR9LZ3?th=1&psc=1&language=en_IN,"Ajjas Lite (Remote Engine Lock) - Wired Hidden GPS Tracker with Location Tracking, Geo Fence Alert, More 15+ Features for Car, Bike, Truck, Bus with (1 Year Free Premium App)","1,519","M.R.P.:
₹5,999",-75%,4.2 out of 5,"4,223 ratings",Electronics
B0CZ3ZPD8B,https://www.amazon.in/dp/B0CZ3ZPD8B?th=1&psc=1&language=en_IN,"boAt Airdopes 311 Pro, 50HRS Battery, Fast Charge, Dual Mics ENx Tech, Transparent LID, Low Latency, IPX4, IWP Tech, v5.3 Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Active Black)",799,"M.R.P.:
₹4,990",-84%,3.4 out of 5,"3,942 ratings",Electronics
B08KHT2HDT,https://www.amazon.in/dp/B08KHT2HDT?th=1&psc=1&language=en_IN,"Marshall Major IV Wireless On-Ear Headphones with 80+ Hours of Playtime, Multi-Dimensional Control Knob, Wireless Charging- Black","9,998","M.R.P.:
₹14,999",-33%,4.3 out of 5,"12,881 ratings",Electronics
