ProductID,URL,Title,Selling Price,MRP,Discount,Rating,Category
B0DQD8HWWG,https://www.amazon.in/dp/B0DQD8HWWG?th=1&psc=1&language=en_IN,N/A,N/A,N/A,N/A,N/A,N/A
B078GTJP5Y,https://www.amazon.in/dp/B078GTJP5Y?th=1&psc=1&language=en_IN,"Kadence rosewood Guitar Frontier Series, Electric Acoustic Black Guitar With EQ, Die Cast Keys, Set Of Strings, Strap, Picks And Bag (Black EQ, Electric Acoustic)","5,799","M.R.P.:
₹7,000",-17%,4 out of 5,Musical Instruments
B0F6KGRXLW,https://www.amazon.in/dp/B0F6KGRXLW?th=1&psc=1&language=en_IN,Givson Mandolin,"4,999","M.R.P.:
₹7,999",-38%,N/A,Musical Instruments
B09GG56LM1,https://www.amazon.in/dp/B09GG56LM1?th=1&psc=1&language=en_IN,Ant Esports WENTE 220 USB Unidirectional Microphone - Black,N/A,N/A,N/A,3.9 out of 5,Computers & Accessories
B0CWXRTBSZ,https://www.amazon.in/dp/B0CWXRTBSZ?th=1&psc=1&language=en_IN,"Portronics Dash 7 Omnidirectional Type C Wireless Microphone, Noise Cancellation, Plug & Play, Lapel Wireless Mic for Video Recording, Supports Type C Android, iPhone, Camera(Black)",679,"M.R.P.:
₹1,999",-66%,3.6 out of 5,Musical Instruments
B00P8UFPMU,https://www.amazon.in/dp/B00P8UFPMU?th=1&psc=1&language=en_IN,Roland XPS-10Expandable Synthesizer Pro Keyboard(Black),"54,500","M.R.P.:
₹63,000",-13%,4.4 out of 5,Musical Instruments
B0C43R8SRB,https://www.amazon.in/dp/B0C43R8SRB?th=1&psc=1&language=en_IN,Alesis Nitro Max Kit Eight Piece Electronic Drum Kit with Mesh Heads and Bluetooth,"37,957","M.R.P.:
₹46,126",-18%,4.2 out of 5,Musical Instruments
B01FYYTDTU,https://www.amazon.in/dp/B01FYYTDTU?th=1&psc=1&language=en_IN,"Juârez Acoustic Guitar, 38 Inch Cutaway, 038C with Bag, Strings, Pick and Strap, Black (Acoustic Guitar Kit, SUNBURST)","2,119","M.R.P.:
₹6,990",-70%,4 out of 5,Musical Instruments
B0CBX1JGB1,https://www.amazon.in/dp/B0CBX1JGB1?th=1&psc=1&language=en_IN,"Behringer Xenyx 1202SFX 12-Channel Analog Audio Mixer With USB Connection, Black","14,990","M.R.P.:
₹31,860",-53%,4.7 out of 5,Musical Instruments
B076B8G5D8,https://www.amazon.in/dp/B076B8G5D8?th=1&psc=1&language=en_IN,Boya ByM1 Auxiliary Omnidirectional Lavalier Condenser Microphone with 20ft Audio Cable (Black),879,"M.R.P.:
₹1,995",-56%,4 out of 5,Musical Instruments
B07QR6Z1JB,https://www.amazon.in/dp/B07QR6Z1JB?th=1&psc=1&language=en_IN,Focusrite Scarlett Solo (3rd Gen) USB Audio Interface,"11,800","M.R.P.:
₹14,965",-21%,4.6 out of 5,Musical Instruments
B0B7GMH7KZ,https://www.amazon.in/dp/B0B7GMH7KZ?th=1&psc=1&language=en_IN,"YGM Acoustic Foams® Pyramid Acoustic Panels 12"" X 12"" X 2"", 38 Kg/m³ Premium Grade Studio Noise, Echo Reduction and Absorption, 3D Structure (Charcoal Black) (Set of 18)","1,195","M.R.P.:
₹3,000",-60%,4.3 out of 5,Musical Instruments
B06XWS1LLD,https://www.amazon.in/dp/B06XWS1LLD?th=1&psc=1&language=en_IN,"Casio CTK-2550 61-Key Portable Keyboard, Black, Casio CTK2500 keyboard","9,550","M.R.P.:
₹10,495",-9%,4.5 out of 5,Musical Instruments
B0DQ937BQ9,https://www.amazon.in/dp/B0DQ937BQ9?th=1&psc=1&language=en_IN,Medha D.J. Plus Professional Amplifier With Digital Media Player-NEW2 160 Watt Power,"5,997","M.R.P.:
₹6,599",-9%,1 out of 5,Musical Instruments
B0CCSVYWMH,https://www.amazon.in/dp/B0CCSVYWMH?th=1&psc=1&language=en_IN,"Shure SM7dB Dynamic Vocal Microphone w/Built-in Preamp for Streaming, Podcast, & Recording, Wide-Range Frequency, Warm & Smooth Sound, Rugged Construction, Detachable Windscreen - Black","55,290","M.R.P.:
₹58,200",-5%,4.1 out of 5,Musical Instruments
