ProductID,URL,Title,Selling Price,MRP,Discount,Rating,Category
B085194JFL,https://www.amazon.in/dp/B085194JFL?th=1&psc=1&language=en_IN,"AirCase Tizum Hdmi to Vga Adapter/Connector/Converter Cable 1080P (Male to Female) for Media Players, Xbox, Projector, Computer, Laptop, Tv & More | Full Hd Resolution | Compact Design | Black",322,499,35,4,Computers & Accessories
B09L8DSSFH,https://www.amazon.in/dp/B09L8DSSFH?th=1&psc=1&language=en_IN,"7SEVEN® Compatible with Samsung Smart 4K Tv Remote Led UHD QLED Television and Monitor Suitable for Frame Ultra 6 7 8 Series with Hot Keys BN59 Model Without Voice Command, AA Battery",369,999,63,4,Electronics
B01N90RZ4M,https://www.amazon.in/dp/B01N90RZ4M?th=1&psc=1&language=en_IN,Tata Sky Universal Remote Fully Compatible,,,,3,Electronics
B07B275VN9,https://www.amazon.in/dp/B07B275VN9?th=1&psc=1&language=en_IN,"Airtel DigitalTV DTH Television, Setup Box Remote Compatible for SD and HD Recording (Black)",140,299,53,4,Electronics
B0141EZMAI,https://www.amazon.in/dp/B0141EZMAI?th=1&psc=1&language=en_IN,"AirCase USB WiFi Adapter for PC, 150 Mbps Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows, Mac OS & Linux Kernel | WPA/WPA2 Encryption Standards| Black",,,,4,Computers & Accessories
B093QCY6YJ,https://www.amazon.in/dp/B093QCY6YJ?th=1&psc=1&language=en_IN,"ZEBRONICS ZEB-USB150WF1 WiFi USB Mini Adapter Supports 150 Mbps Wireless Data, Comes with Advanced Security WPA/WPA2 encryption Standards",239,499,52,4,Computers & Accessories
B093ZNQZ2Y,https://www.amazon.in/dp/B093ZNQZ2Y?th=1&psc=1&language=en_IN,"LOHAYA Remote Compatible for Mi Smart LED TV 4A Remote Control (32""/43"") [ Compatible for Mi TV Remote Control ]",249,799,69,4,Electronics
B08LKS3LSP,https://www.amazon.in/dp/B08LKS3LSP?th=1&psc=1&language=en_IN,"Gilary Multi Charging Cable, 3 in 1 Nylon Braided Fast Charging Cable for iPhone Micro USB Type C Mobile Phone | Colour may vary |",,,,4,Computers & Accessories
B09DDCQFMT,https://www.amazon.in/dp/B09DDCQFMT?th=1&psc=1&language=en_IN,Electvision Remote Compatible with Amazon fire Stick Remote only [2nd Generation ][ Fire TV Remote ] [ Fire Stick Remote ] [ Firestick Remote ] [ fire tv Stick Remote ],,,,3,Electronics
B0B21C4BMX,https://www.amazon.in/dp/B0B21C4BMX?th=1&psc=1&language=en_IN,"Portronics Konnect Spydr 31 3-in-1 Multi Functional Cable with 3.0A Total Output, Tangle Resistant, 1.2M Length, Nylon Braided(Zebra)",,,,4,Computers & Accessories
