product_title,rating(),rating_count,selling_price,MRP,dicountvalue,discount
Croma 140 cm (55 inch  4K Ultra HD Google TV with Dolby Audio,3.5,15,30990,76500,45510,59% Off
Croma 102 cm (40 inch  Full HD LED Smart Google TV with Dolby Audio,3.4,17,15490,29900,14410,48% Off
Croma 80 cm (32 inch  HD Ready LED Smart Google TV with Dolby Audio,3.8,32,10590,25000,14410,58% Off
Croma 127 cm (50 inch  4K Ultra HD LED Google TV with Bezel Less Display,5,1,28490,45500,17010,37% Off
Westinghouse W2 Series 100 cm (40 inch  Full HD LED Smart Android TV with Dolby Digital Plus (2023 model ,3,2,13999,26999,13000,48% Off
Xiaomi A Series 80 cm (32 inch  HD Ready LED Smart Google TV with Voice Assistant (2024 model ,3.9,10,11990,24999,13009,52% Off
SONY Bravia 2 108 cm (43 inch  4K Ultra HD LCD Google TV with Live Colour Technology (2024 model ,5,4,38890,59900,21010,35% Off
KODAK 9XPRO 108 cm (43 inch  Full HD LED Smart Android TV with Dolby Digital Plus (2023 model ,5,1,16999,29999,13000,43% Off
Croma 109 cm (43 inch  Full HD LED Smart Google TV with Bezel Less Display,3.8,4,21990,34000,12010,35% Off
Croma 80 cm (32 inch  HD Ready LED Smart Google TV with Dolby Audio (2025 model ,5,2,12490,25000,12510,50% Off
BLAUPUNKT 55QD7020 139 cm (55 inch  QLED 4K Ultra HD Google TV with Quantum Dot Technology (2022 model ,5,8,30999,59999,29000,48% Off
Westinghouse W2 Series 80 cm (32 inch  HD Ready LED Smart Android TV with Google Assistant (2023 model ,1,1,8999,17999,9000,50% Off
Croma 80 cm (32 inch  HD Ready QLED Pro Smart Google TV with Dolby Audio (2025 model ,5,1,14990,28500,13510,47% Off
iFFALCON Q73 126 cm (50 inch  QLED 4K Ultra HD Google TV with Dolby Audio (2023 model ,4.5,2,33999,112990,78991,70% Off
Croma 80 cm (32 inch  HD Ready LED TV with Bezel Less Display,3.9,23,7390,9500,2110,22% Off
Croma 80 cm (32 inch  HD Ready LED Smart Linux TV with Dolby Audio,3.3,38,8590,18000,9410,52% Off
Croma 60 cm (24 inch  HD Ready LED TV with A Plus Grade Panel,4,10,5590,7000,1410,20% Off
LG LM56 80cm (32 Inch  HD Ready LED Smart WebOS TV with DTS Virtual:X (2019 Model ,4,27,13490,21990,8500,39% Off
KODAK 32SE5001BL 80 cm (32 inch  HD Ready LED Smart Linux TV with DLED Panel (2023 model ,5,2,8499,14999,6500,43% Off
Xiaomi A Series 80 cm (32 inch  HD Ready LED Smart Google TV with Voice Assistant (2024 model ,3.9,10,11990,24999,13009,52% Off
SAMSUNG T4380A Series 80 cm (32 inch  HD Ready LED Smart Tizen TV with PurColor (2022 model ,3.3,12,13990,18900,4910,26% Off
Redmi F Series 80 cm (32 inch  HD Ready LED Smart Fire TV with Dolby Audio (2024 model ,4,2,10999,24999,14000,56% Off
Westinghouse W2 Series 80 cm (32 inch  HD Ready LED Smart Android TV with Google Assistant (2023 model ,1,1,8999,17999,9000,50% Off
SONY Bravia 80 cm (32 inch  HD Ready LED Smart Google TV with Built in Alexa (2022 model ,5,4,21990,34900,12910,37% Off
SAMSUNG Series 4 80 cm (32 inch  HD Ready LED Smart Tizen TV with Hyper Real Picture Engine (2020 Model ,3,46,14980,22900,7920,35% Off
SAMSUNG Series 4 80 cm (32 inch  HD Ready LED Smart Tizen TV with Hyper Real Picture Engine,4.6,125,16650,22900,6250,27% Off
SAMSUNG Series 4 80 cm (32 inch  HD Ready LED Smart Tizen TV with Alexa Compatibility,4.4,61,20290,26900,6610,25% Off
XElectron 60 cm (24 inch  HD Ready TV with Bezel Less Display (2023 model ,4.7,88,5699,13999,8300,59% Off
Croma 80 cm (32 inch  HD Ready LED Smart Google TV with A Plus Grade Panel,4,9,9994,18000,8006,44% Off
acer I Series 80 cm (32 inch  HD Ready LED Smart Google TV with Dolby Audio (2023 model ,3,25,8999,20999,12000,57% Off
KODAK 9XPRO 80 cm (32 inch  HD Ready LED Smart Android TV with Dolby Audio,4,4,9999,17999,8000,44% Off
Xiaomi A Series 80 cm (32 inch  HD LED Smart Google TV with 20W Speaker,3.1,36,10990,24999,14009,56% Off
XElectron 80 cm (32 inch  HD Ready TV with Bezel Less Display (2023 model ,4.9,41,7699,17999,10300,57% Off
